Ref,Val,Package,PosX,PosY,Rot,Side
"ATTACK1","50k-lin","9MM_SNAP-IN_POT",-170.200338,-116.732280,180.000000,bottom
"CTL2","50k-lin","9MM_SNAP-IN_POT",-104.302338,-116.747280,180.000000,bottom
"CV-CTL2","THONKICONNNEW","WQP-PJ301M-12_JACK",-130.974922,-137.626929,0.000000,bottom
"CV-CTL3","THONKICONNNEW","WQP-PJ301M-12_JACK",-120.037762,-137.626929,0.000000,bottom
"CV-CTL4","THONKICONNNEW","WQP-PJ301M-12_JACK",-109.100602,-137.626929,0.000000,bottom
"CV-PM1","THONKICONNNEW","WQP-PJ301M-12_JACK",-152.849242,-152.358929,0.000000,bottom
"CV-PM2","THONKICONNNEW","WQP-PJ301M-12_JACK",-130.974922,-152.358929,0.000000,bottom
"CV-RAT1","THONKICONNNEW","WQP-PJ301M-12_JACK",-141.912082,-152.358929,0.000000,bottom
"CV-RAT2","THONKICONNNEW","WQP-PJ301M-12_JACK",-120.037762,-152.358929,0.000000,bottom
"CV-REL1","THONKICONNNEW","WQP-PJ301M-12_JACK",-109.100602,-152.358929,0.000000,bottom
"D4","LED","LED_D3.0mm",-154.124242,-136.996179,180.000000,bottom
"D5","LED_Dual_KAK","LED_D3.0mm-3",-156.867172,-66.821180,0.000000,bottom
"D6","LED_Dual_KAK","LED_D3.0mm-3",-156.867172,-72.271180,0.000000,bottom
"D7","LED_Dual_KAK","LED_D3.0mm-3",-156.867172,-77.721180,0.000000,bottom
"D8","LED_Dual_KAK","LED_D3.0mm-3",-156.867172,-83.171180,0.000000,bottom
"D9","LED_Dual_KAK","LED_D3.0mm-3",-117.882105,-66.821180,180.000000,bottom
"D10","LED_Dual_KAK","LED_D3.0mm-3",-117.882105,-72.271180,180.000000,bottom
"D11","LED_Dual_KAK","LED_D3.0mm-3",-117.882105,-77.721180,180.000000,bottom
"D12","LED_Dual_KAK","LED_D3.0mm-3",-117.882105,-83.171180,180.000000,bottom
"GATE-OUT1","THONKICONNNEW","WQP-PJ301M-12_JACK",-164.286402,-137.626929,0.000000,bottom
"LEFT-OUT1","THONKICONNNEW","WQP-PJ301M-12_JACK",-98.163438,-137.626929,0.000000,bottom
"MIDI-IN1","THONKI-STEREO","WQP-PJ366ST_JACK",-176.223562,-152.358929,0.000000,bottom
"MIDI-THRU1","THONKI-STEREO","WQP-PJ366ST_JACK",-164.286402,-152.358929,0.000000,bottom
"PM1","50k-lin","9MM_SNAP-IN_POT",-170.438438,-95.133480,180.000000,bottom
"PM2","50k-lin","9MM_SNAP-IN_POT",-126.353373,-95.133480,180.000000,bottom
"RATIO1","50k-lin","9MM_SNAP-IN_POT",-148.395905,-95.133480,180.000000,bottom
"RATIO2","50k-lin","9MM_SNAP-IN_POT",-104.310838,-95.133480,180.000000,bottom
"RELEASE1","50k-lin","9MM_SNAP-IN_POT",-148.234338,-116.795780,180.000000,bottom
"RIGHT-OUT1","THONKICONNNEW","WQP-PJ301M-12_JACK",-98.163438,-152.346180,0.000000,bottom
"SW3","ctl1","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",-150.895905,-82.246180,90.000000,bottom
"SW4","ctl2","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",-128.853372,-82.246180,90.000000,bottom
"X1","KUSBVX","KUSBVX",-174.922838,-60.152780,-90.000000,bottom
"cutoff1","50k-lin","9MM_SNAP-IN_POT",-126.268338,-116.795780,180.000000,bottom
"cv-cutoff1","THONKICONNNEW","WQP-PJ301M-12_JACK",-141.912082,-137.626929,0.000000,bottom
"sw-midi1","SW_MEC_5G","SW_TH_Tactile_Omron_B3F-10xx",-178.473562,-141.246180,90.000000,bottom
"sw-sel1","SW_MEC_5G","SW_TH_Tactile_Omron_B3F-10xx",-145.145905,-60.096180,0.000000,bottom
"sw-sel2","SW_MEC_5G","SW_TH_Tactile_Omron_B3F-10xx",-123.103372,-60.096180,0.000000,bottom
